Score,Method,Member,Comment
0.69269,perceptron,6danni,
0.50137,mlp,Angelneer926,
0.73997,perceptron,Angelneer926,
0.50137,mlp,Bri636,
0.50137,perceptron,Bri636,
0.50137,mlp,Gentlemath,
0.76965,perceptron,Gentlemath,
0.50137,mlp,JingyangYi,
0.50137,perceptron,JingyangYi,
0.50137,mlp,NehzUx,
0.50137,perceptron,NehzUx,
0.50137,mlp,PaulHong12,
0.73887,perceptron,PaulHong12,
0.50137,mlp,VanTranHong,
0.73337,perceptron,VanTranHong,
0.50137,mlp,WeiyiTian,
0.50137,perceptron,WeiyiTian,
0.50137,mlp,ZixuanWu1,
0.50137,perceptron,ZixuanWu1,
0.50137,mlp,aashrivastava,
0.75591,perceptron,aashrivastava,
-inf,perceptron,adrian-mingxuancao,Error computing accuracy!
0.50137,mlp,ari-holtzman,
-inf,perceptron,ari-holtzman,Error computing accuracy!
0.50137,mlp,arjungecon,
0.50137,perceptron,arjungecon,
0.50137,mlp,atticusginsborg,
0.50137,perceptron,atticusginsborg,
0.50137,mlp,cassietang717,
0.50137,perceptron,cassietang717,
0.50137,mlp,christymarc,
0.69434,perceptron,christymarc,
0.50137,mlp,dwlyu,
0.74821,perceptron,dwlyu,
0.50137,mlp,echeloni11,
0.72073,perceptron,echeloni11,
-inf,perceptron,javyduck,Error computing accuracy!
0.50137,mlp,jiawei-zhang-a,
0.50137,perceptron,jiawei-zhang-a,
0.50137,mlp,jiazheng-wang-yes,
0.74217,perceptron,jiazheng-wang-yes,
0.50137,mlp,jiheeyy,
0.50137,perceptron,jiheeyy,
0.50137,mlp,jinoh5,
0.50137,perceptron,jinoh5,
0.50137,mlp,kehanzhao1,
0.72073,perceptron,kehanzhao1,
0.50137,mlp,listar2000,
0.70973,perceptron,listar2000,
0.50137,mlp,nfrgeller,
0.50137,perceptron,nfrgeller,
0.50137,mlp,rachelngordon,
0.50137,perceptron,rachelngordon,
0.50137,mlp,redstonewhite,
0.74546,perceptron,redstonewhite,
0.50137,mlp,sarsong,
0.73337,perceptron,sarsong,
0.50137,mlp,su-z,
0.50137,perceptron,su-z,
0.50137,mlp,toddnief,
-inf,perceptron,toddnief,Error computing accuracy!
0.50137,mlp,xpenguchi,
0.50137,perceptron,xpenguchi,
