Score,Method,Member,Comment
0.63451,bert,Gentlemath,
0.53056,bert,dwlyu,
0.47819,bert,adrian-mingxuancao,
0.25123,gpt2,Gentlemath,
0.24808,gpt2,dwlyu,
0.16123,gpt2,PaulHong12,
0.08227,bert,PaulHong12,
0.07735,gpt2,adrian-mingxuancao,
0.02931,gpt2,sarsong,
0.02931,gpt2,kehanzhao1,
0.02931,gpt2,jiheeyy,
0.02931,gpt2,jiawei-zhang-a,
0.02931,gpt2,ericdesoiza,
0.02931,gpt2,christymarc,
0.02931,gpt2,cassietang717,
0.02931,gpt2,aashrivastava,
0.02931,gpt2,WeiyiTian,
0.02931,gpt2,VanTranHong,
0.02931,gpt2,Angelneer926,
-0.00453,word2vec,sarsong,
-0.00453,word2vec,kehanzhao1,
-0.00453,word2vec,jiheeyy,
-0.00453,word2vec,jiawei-zhang-a,
-0.00453,word2vec,ericdesoiza,
-0.00453,word2vec,dwlyu,
-0.00453,word2vec,christymarc,
-0.00453,word2vec,cassietang717,
-0.00453,word2vec,adrian-mingxuancao,
-0.00453,word2vec,aashrivastava,
-0.00453,word2vec,WeiyiTian,
-0.00453,word2vec,VanTranHong,
-0.00453,word2vec,PaulHong12,
-0.00453,word2vec,Gentlemath,
-0.00453,word2vec,Angelneer926,
-0.02733,bert,sarsong,
-0.02733,bert,kehanzhao1,
-0.02733,bert,jiheeyy,
-0.02733,bert,jiawei-zhang-a,
-0.02733,bert,ericdesoiza,
-0.02733,bert,christymarc,
-0.02733,bert,cassietang717,
-0.02733,bert,aashrivastava,
-0.02733,bert,WeiyiTian,
-0.02733,bert,VanTranHong,
-0.02733,bert,Angelneer926,
,bert,jinoh5,Error computing correlation!
,gpt2,jinoh5,Error computing correlation!
,bert,echeloni11,Error computing correlation!
,gpt2,echeloni11,Error computing correlation!
