Score,Method,Member,Comment
0.22967,gpt2,Angelneer926,
0.35486,bert,Angelneer926,
-0.07549,word2vec,Angelneer926,
0.23499,bert,Gentlemath,
0.1579,gpt2,Gentlemath,
0.04329,word2vec,Gentlemath,
0.11921,gpt2,JingyangYi,
-0.07549,word2vec,JingyangYi,
0.30672,bert,JingyangYi,
0.16792,bert,PaulHong12,
0.15607,gpt2,PaulHong12,
-0.07549,word2vec,PaulHong12,
-0.07549,word2vec,VanTranHong,
0.15615,bert,VanTranHong,
-0.03796,gpt2,VanTranHong,
0.35486,bert,WeiyiTian,
-0.07549,word2vec,WeiyiTian,
0.22968,gpt2,WeiyiTian,
-0.07549,word2vec,aashrivastava,
0.22967,gpt2,aashrivastava,
0.29855,bert,aashrivastava,
0.12485,bert,adrian-mingxuancao,
-0.04652,gpt2,adrian-mingxuancao,
0.14679,word2vec,adrian-mingxuancao,
0.22967,gpt2,cassietang717,
-0.07549,word2vec,cassietang717,
0.35486,bert,cassietang717,
0.02917,bert,christymarc,
,word2vec,christymarc,Error computing correlation: score is none
0.21158,gpt2,christymarc,
0.16086,word2vec,dwlyu,
0.35455,bert,dwlyu,
0.22976,gpt2,dwlyu,
0.16546,word2vec,echeloni11,
0.1323,gpt2,echeloni11,
0.07527,bert,echeloni11,
-0.07549,word2vec,ericdesoiza,
0.02895,gpt2,ericdesoiza,
-0.04385,bert,ericdesoiza,
0.15941,word2vec,javyduck,
0.16993,bert,javyduck,
0.24954,gpt2,javyduck,
0.33466,bert,jiawei-zhang-a,
-0.01146,gpt2,jiawei-zhang-a,
-0.07549,word2vec,jiawei-zhang-a,
-0.07549,word2vec,jiazheng-wang-yes,
0.21064,bert,jiazheng-wang-yes,
0.11027,gpt2,jiazheng-wang-yes,
0.03475,gpt2,jiheeyy,
0.01812,bert,jiheeyy,
-0.07549,word2vec,jiheeyy,
0.2941,bert,jinoh5,
0.1367,gpt2,jinoh5,
-0.07549,word2vec,jinoh5,
-0.02521,bert,kehanzhao1,
-0.07549,word2vec,kehanzhao1,
-0.02103,gpt2,kehanzhao1,
,bert,listar2000,Error computing correlation: score is none
-0.07549,word2vec,listar2000,
,gpt2,listar2000,Error computing correlation: score is none
0.11385,gpt2,sarsong,
-0.07549,word2vec,sarsong,
0.25022,bert,sarsong,
